,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
87,.1~88,88,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F12,1kg Blueberry Muesli,12,Grocery chains,11.26,EUR
88,.1~89,89,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F13,1kg Strawberry Muesli,10,Hypermarket,10.27,EUR
89,.1~90,90,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F13,1kg Strawberry Muesli,12,Grocery chains,11.27,EUR
90,.1~91,91,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F14,1kg Raisin Muesli,10,Hypermarket,9.38,EUR
91,.1~92,92,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F14,1kg Raisin Muesli,12,Grocery chains,10.38,EUR
92,.1~93,93,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F15,1kg Original Muesli,10,Hypermarket,9.35,EUR
93,.1~94,94,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F15,1kg Original Muesli,12,Grocery chains,10.35,EUR
94,.1~95,95,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F16,1kg Mixed Fruit Muesli,10,Hypermarket,10.06,EUR
95,.1~96,96,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F16,1kg Mixed Fruit Muesli,12,Grocery chains,11.06,EUR
96,.1~97,97,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F01,500g Nut Muesli,12,Grocery chains,9.90,EUR
97,.1~98,98,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F01,500g Nut Muesli,14,Indept. grocers,9.90,EUR
