,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
125,.1~126,126,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F03,500g Strawberry Muesli,14,Indept. grocers,7.48,EUR
126,.1~127,127,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F04,500g Raisin Muesli,12,Grocery chains,5.79,EUR
127,.1~128,128,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F04,500g Raisin Muesli,14,Indept. grocers,6.95,EUR
128,.1~129,129,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F05,500g Original Muesli,12,Grocery chains,5.77,EUR
129,.1~130,130,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F05,500g Original Muesli,14,Indept. grocers,6.92,EUR
130,.1~131,131,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,6.13,EUR
131,.1~132,132,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F06,500g Mixed Fruit Muesli,14,Indept. grocers,7.36,EUR
132,.1~133,133,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F11,1kg Nut Muesli,10,Hypermarket,6.28,EUR
133,.1~134,134,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F11,1kg Nut Muesli,12,Grocery chains,6.61,EUR
134,.1~135,135,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F12,1kg Blueberry Muesli,10,Hypermarket,6.90,EUR
135,.1~136,136,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F12,1kg Blueberry Muesli,12,Grocery chains,7.26,EUR
136,.1~137,137,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F13,1kg Strawberry Muesli,10,Hypermarket,6.91,EUR
137,.1~138,138,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F13,1kg Strawberry Muesli,12,Grocery chains,7.27,EUR
138,.1~139,139,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F14,1kg Raisin Muesli,10,Hypermarket,6.06,EUR
139,.1~140,140,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F14,1kg Raisin Muesli,12,Grocery chains,6.38,EUR
140,.1~141,141,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F15,1kg Original Muesli,10,Hypermarket,6.03,EUR
141,.1~142,142,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F15,1kg Original Muesli,12,Grocery chains,6.35,EUR
142,.1~143,143,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F16,1kg Mixed Fruit Muesli,10,Hypermarket,6.71,EUR
143,.1~144,144,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F16,1kg Mixed Fruit Muesli,12,Grocery chains,7.06,EUR
144,.1~145,145,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F01,500g Nut Muesli,12,Grocery chains,5.90,EUR
145,.1~146,146,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F01,500g Nut Muesli,14,Indept. grocers,7.08,EUR
146,.1~147,147,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F02,500g Blueberry Muesli,12,Grocery chains,6.23,EUR
147,.1~148,148,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F02,500g Blueberry Muesli,14,Indept. grocers,7.48,EUR
148,.1~149,149,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F03,500g Strawberry Muesli,12,Grocery chains,6.23,EUR
149,.1~150,150,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F03,500g Strawberry Muesli,14,Indept. grocers,7.48,EUR
150,.1~151,151,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F04,500g Raisin Muesli,12,Grocery chains,5.79,EUR
151,.1~152,152,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F04,500g Raisin Muesli,14,Indept. grocers,6.95,EUR
152,.1~153,153,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F05,500g Original Muesli,12,Grocery chains,5.77,EUR
153,.1~154,154,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F05,500g Original Muesli,14,Indept. grocers,6.92,EUR
154,.1~155,155,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,6.13,EUR
155,.1~156,156,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F06,500g Mixed Fruit Muesli,14,Indept. grocers,7.36,EUR
156,.1~157,157,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F11,1kg Nut Muesli,10,Hypermarket,6.28,EUR
157,.1~158,158,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F11,1kg Nut Muesli,12,Grocery chains,6.61,EUR
158,.1~159,159,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F12,1kg Blueberry Muesli,10,Hypermarket,6.90,EUR
159,.1~160,160,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F12,1kg Blueberry Muesli,12,Grocery chains,7.26,EUR
160,.1~161,161,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F13,1kg Strawberry Muesli,10,Hypermarket,6.91,EUR
161,.1~162,162,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F13,1kg Strawberry Muesli,12,Grocery chains,7.27,EUR
162,.1~163,163,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F14,1kg Raisin Muesli,10,Hypermarket,6.06,EUR
163,.1~164,164,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F14,1kg Raisin Muesli,12,Grocery chains,6.38,EUR
164,.1~165,165,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F15,1kg Original Muesli,10,Hypermarket,6.03,EUR
165,.1~166,166,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F15,1kg Original Muesli,12,Grocery chains,6.35,EUR
166,.1~167,167,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F16,1kg Mixed Fruit Muesli,10,Hypermarket,6.71,EUR
167,.1~168,168,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F16,1kg Mixed Fruit Muesli,12,Grocery chains,7.06,EUR
168,.1~169,169,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F01,500g Nut Muesli,12,Grocery chains,5.90,EUR
169,.1~170,170,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F01,500g Nut Muesli,14,Indept. grocers,7.08,EUR
170,.1~171,171,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F02,500g Blueberry Muesli,12,Grocery chains,6.23,EUR
171,.1~172,172,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F02,500g Blueberry Muesli,14,Indept. grocers,7.48,EUR
172,.1~173,173,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F03,500g Strawberry Muesli,12,Grocery chains,6.23,EUR
173,.1~174,174,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F03,500g Strawberry Muesli,14,Indept. grocers,7.48,EUR
174,.1~175,175,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F04,500g Raisin Muesli,12,Grocery chains,5.79,EUR
175,.1~176,176,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F04,500g Raisin Muesli,14,Indept. grocers,6.95,EUR
176,.1~177,177,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F05,500g Original Muesli,12,Grocery chains,5.77,EUR
177,.1~178,178,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F05,500g Original Muesli,14,Indept. grocers,6.92,EUR
178,.1~179,179,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,6.13,EUR
179,.1~180,180,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F06,500g Mixed Fruit Muesli,14,Indept. grocers,7.36,EUR
180,.1~181,181,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F11,1kg Nut Muesli,10,Hypermarket,6.28,EUR
181,.1~182,182,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F11,1kg Nut Muesli,12,Grocery chains,6.61,EUR
182,.1~183,183,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F12,1kg Blueberry Muesli,10,Hypermarket,6.90,EUR
183,.1~184,184,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F12,1kg Blueberry Muesli,12,Grocery chains,7.26,EUR
184,.1~185,185,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F13,1kg Strawberry Muesli,10,Hypermarket,6.91,EUR
