,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
715,.1~335,335,C2,Market,02,5,500g Blueberry Muesli,14,North,2064,ST,6.64,13656.22,EUR
716,.1~337,337,C2,Market,02,5,500g Blueberry Muesli,14,South,1952,ST,7.48,14600.96,EUR
717,.1~339,339,C2,Market,02,5,500g Blueberry Muesli,14,West,2472,ST,6.85,17013.06,EUR
718,.1~341,341,C2,Market,02,5,500g Nut Muesli,14,North,3159,ST,5.90,18638.10,EUR
719,.1~343,343,C2,Market,02,5,500g Nut Muesli,14,South,3326,ST,5.90,19623.40,EUR
720,.1~345,345,C2,Market,02,5,500g Nut Muesli,14,West,1641,ST,5.90,9681.90,EUR
721,.1~347,347,C2,Market,02,5,500g Original Muesli,14,North,2613,ST,5.77,15077.01,EUR
722,.1~349,349,C2,Market,02,5,500g Original Muesli,14,South,2447,ST,5.77,14119.19,EUR
723,.1~351,351,C2,Market,02,5,500g Original Muesli,14,West,763,ST,5.77,4402.51,EUR
724,.1~353,353,C2,Market,02,5,500g Raisin Muesli,14,North,3237,ST,6.95,22497.15,EUR
725,.1~355,355,C2,Market,02,5,500g Raisin Muesli,14,South,4111,ST,6.95,28571.45,EUR
726,.1~357,357,C2,Market,02,5,500g Raisin Muesli,14,West,3922,ST,6.95,27257.90,EUR
727,.1~359,359,C2,Market,02,6,1kg Blueberry Muesli,10,North,6285,ST,6.90,43366.50,EUR
728,.1~361,361,C2,Market,02,6,1kg Blueberry Muesli,10,South,5231,ST,6.90,36093.90,EUR
729,.1~363,363,C2,Market,02,6,1kg Blueberry Muesli,10,West,6355,ST,6.90,43849.50,EUR
730,.1~365,365,C2,Market,02,6,1kg Nut Muesli,10,North,2202,ST,6.28,13828.56,EUR
731,.1~367,367,C2,Market,02,6,1kg Nut Muesli,10,South,3062,ST,6.28,19229.36,EUR
732,.1~369,369,C2,Market,02,6,1kg Nut Muesli,10,West,2007,ST,6.28,12603.96,EUR
733,.1~371,371,C2,Market,02,6,1kg Original Muesli,10,South,1039,ST,6.35,6597.65,EUR
734,.1~373,373,C2,Market,02,6,1kg Strawberry Muesli,10,South,2635,ST,7.27,19156.45,EUR
735,.1~375,375,C2,Market,02,6,1kg Blueberry Muesli,12,North,5307,ST,7.26,38528.82,EUR
736,.1~377,377,C2,Market,02,6,1kg Blueberry Muesli,12,South,11422,ST,7.26,82923.72,EUR
737,.1~379,379,C2,Market,02,6,1kg Blueberry Muesli,12,West,8774,ST,7.26,63699.24,EUR
738,.1~381,381,C2,Market,02,6,1kg Nut Muesli,12,North,3029,ST,6.61,20021.69,EUR
739,.1~383,383,C2,Market,02,6,1kg Nut Muesli,12,South,4872,ST,6.61,32203.92,EUR
740,.1~385,385,C2,Market,02,6,1kg Nut Muesli,12,West,3726,ST,6.61,24628.86,EUR
741,.1~387,387,C2,Market,02,6,1kg Original Muesli,12,North,4841,ST,6.35,30740.35,EUR
742,.1~389,389,C2,Market,02,6,1kg Original Muesli,12,South,6940,ST,6.35,44069.00,EUR
743,.1~391,391,C2,Market,02,6,1kg Original Muesli,12,West,2316,ST,6.35,14706.60,EUR
744,.1~393,393,C2,Market,02,6,1kg Raisin Muesli,12,North,2883,ST,6.38,18393.54,EUR
745,.1~395,395,C2,Market,02,6,1kg Raisin Muesli,12,South,6121,ST,6.38,39051.98,EUR
746,.1~397,397,C2,Market,02,6,1kg Raisin Muesli,12,West,1936,ST,6.38,12351.68,EUR
747,.1~399,399,C2,Market,02,6,1kg Strawberry Muesli,12,North,7766,ST,7.27,56458.82,EUR
748,.1~401,401,C2,Market,02,6,1kg Strawberry Muesli,12,South,4422,ST,7.27,32147.94,EUR
749,.1~403,403,C2,Market,02,6,1kg Strawberry Muesli,12,West,5551,ST,7.27,40355.77,EUR
750,.1~405,405,C2,Market,02,6,500g Blueberry Muesli,12,North,3940,ST,6.23,24546.20,EUR
751,.1~407,407,C2,Market,02,6,500g Blueberry Muesli,12,South,2122,ST,6.23,13220.06,EUR
