,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
359,.1~745,745,C2,02,14,02/14,2024-02-03T00:00:00,7,34,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,23250.800,KG
360,.1~173,173,C2,01,08,01/08,2024-01-08T00:00:00,2,8,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,25600.000,KG
361,.1~877,877,C2,02,20,02/20,2024-02-09T00:00:00,8,40,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,2650.000,KG
362,.1~195,195,C2,01,09,01/09,2024-01-09T00:00:00,2,9,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,25600.000,KG
363,.1~371,371,C2,01,17,01/17,2024-01-17T00:00:00,4,17,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,3200.000,KG
364,.1~569,569,C2,02,06,02/06,2024-01-26T00:00:00,6,26,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,36450.300,KG
365,.1~349,349,C2,01,16,01/16,2024-01-16T00:00:00,4,16,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,3200.000,KG
366,.1~217,217,C2,01,10,01/10,2024-01-10T00:00:00,2,10,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,22900.600,KG
367,.1~481,481,C2,02,02,02/02,2024-01-22T00:00:00,5,22,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,3200.000,KG
368,.1~723,723,C2,02,13,02/13,2024-02-02T00:00:00,7,33,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,25850.800,KG
369,.1~857,857,C2,02,19,02/19,2024-02-08T00:00:00,8,39,88,CC-R05,Wheat,Raw materials,R05,,Wheat,98286.600,KG
370,.1~527,527,C2,02,04,02/04,2024-01-24T00:00:00,5,24,88,CC-R05,Wheat,Raw materials,R05,,Wheat,99435.200,KG
371,.1~65,65,C2,01,03,01/03,2024-01-03T00:00:00,1,3,88,CC-R05,Wheat,Raw materials,R05,,Wheat,80800.000,KG
372,.1~395,395,C2,01,18,01/18,2024-01-18T00:00:00,4,18,88,CC-R05,Wheat,Raw materials,R05,,Wheat,63500.700,KG
373,.1~835,835,C2,02,18,02/18,2024-02-07T00:00:00,8,38,88,CC-R05,Wheat,Raw materials,R05,,Wheat,107386.600,KG
374,.1~439,439,C2,01,20,01/20,2024-01-20T00:00:00,4,20,88,CC-R05,Wheat,Raw materials,R05,,Wheat,54400.700,KG
375,.1~483,483,C2,02,02,02/02,2024-01-22T00:00:00,5,22,88,CC-R05,Wheat,Raw materials,R05,,Wheat,37718.300,KG
376,.1~505,505,C2,02,03,02/03,2024-01-23T00:00:00,5,23,88,CC-R05,Wheat,Raw materials,R05,,Wheat,30135.200,KG
377,.1~461,461,C2,02,01,02/01,2024-01-21T00:00:00,5,21,88,CC-R05,Wheat,Raw materials,R05,,Wheat,46818.300,KG
378,.1~43,43,C2,01,02,01/02,2024-01-02T00:00:00,1,2,88,CC-R05,Wheat,Raw materials,R05,,Wheat,0.000,KG
379,.1~417,417,C2,01,19,01/19,2024-01-19T00:00:00,4,19,88,CC-R05,Wheat,Raw materials,R05,,Wheat,58950.700,KG
380,.1~901,901,C2,03,01,03/01,2024-02-10T00:00:00,9,41,88,CC-R05,Wheat,Raw materials,R05,,Wheat,81603.500,KG
381,.1~747,747,C2,02,14,02/14,2024-02-03T00:00:00,7,34,88,CC-R05,Wheat,Raw materials,R05,,Wheat,140052.400,KG
382,.1~175,175,C2,01,08,01/08,2024-01-08T00:00:00,2,8,88,CC-R05,Wheat,Raw materials,R05,,Wheat,55133.800,KG
383,.1~153,153,C2,01,07,01/07,2024-01-07T00:00:00,2,7,88,CC-R05,Wheat,Raw materials,R05,,Wheat,64000.000,KG
384,.1~725,725,C2,02,13,02/13,2024-02-02T00:00:00,7,33,88,CC-R05,Wheat,Raw materials,R05,,Wheat,147852.400,KG
385,.1~197,197,C2,01,09,01/09,2024-01-09T00:00:00,2,9,88,CC-R05,Wheat,Raw materials,R05,,Wheat,46033.800,KG
386,.1~879,879,C2,02,20,02/20,2024-02-09T00:00:00,8,40,88,CC-R05,Wheat,Raw materials,R05,,Wheat,90703.500,KG
387,.1~769,769,C2,02,15,02/15,2024-02-04T00:00:00,7,35,88,CC-R05,Wheat,Raw materials,R05,,Wheat,133169.700,KG
388,.1~703,703,C2,02,12,02/12,2024-02-01T00:00:00,7,32,88,CC-R05,Wheat,Raw materials,R05,,Wheat,64000.000,KG
389,.1~219,219,C2,01,10,01/10,2024-01-10T00:00:00,2,10,88,CC-R05,Wheat,Raw materials,R05,,Wheat,38450.700,KG
390,.1~131,131,C2,01,06,01/06,2024-01-06T00:00:00,2,6,88,CC-R05,Wheat,Raw materials,R05,,Wheat,67908.450,KG
391,.1~241,241,C2,01,11,01/11,2024-01-11T00:00:00,3,11,88,CC-R05,Wheat,Raw materials,R05,,Wheat,106150.700,KG
