,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_SIZE,MATERIAL_LABEL,MATERIAL_CODE,YIELD,UNIT
315,.1~410,410,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
316,.1~256,256,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
317,.1~194,194,C2,01,17,01/17,2024-01-17T00:00:00,4,17,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
318,.1~474,474,C2,02,20,02/20,2024-02-09T00:00:00,8,40,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
319,.1~50,50,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F06,500g Mixed Fruit Muesli,500g,Mixed Fruit Muesli,F06,0,ST
320,.1~455,455,C2,02,18,02/18,2024-02-07T00:00:00,8,38,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
321,.1~234,234,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
322,.1~213,213,C2,01,18,01/18,2024-01-18T00:00:00,4,18,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
323,.1~461,461,C2,02,19,02/19,2024-02-08T00:00:00,8,39,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
324,.1~15,15,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
325,.1~320,320,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
326,.1~12,12,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
327,.1~141,141,C2,01,12,01/12,2024-01-12T00:00:00,3,12,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
328,.1~219,219,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
329,.1~477,477,C2,02,20,02/20,2024-02-09T00:00:00,8,40,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
330,.1~311,311,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
331,.1~150,150,C2,01,13,01/13,2024-01-13T00:00:00,3,13,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
332,.1~182,182,C2,01,16,01/16,2024-01-16T00:00:00,4,16,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
333,.1~267,267,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
334,.1~390,390,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
335,.1~374,374,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
336,.1~89,89,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
337,.1~76,76,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
338,.1~262,262,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
339,.1~69,69,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
340,.1~405,405,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
341,.1~175,175,C2,01,15,01/15,2024-01-15T00:00:00,3,15,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
342,.1~411,411,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
343,.1~362,362,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
344,.1~100,100,C2,01,09,01/09,2024-01-09T00:00:00,2,9,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
345,.1~57,57,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
346,.1~198,198,C2,01,17,01/17,2024-01-17T00:00:00,4,17,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
347,.1~421,421,C2,02,16,02/16,2024-02-05T00:00:00,8,36,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
348,.1~350,350,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
349,.1~48,48,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,2.2E4,ST
